Location,2013,Change (2009Ð2014)
Norway,1,0
Australia,2,0
Switzerland,3,0
Denmark,4,1
Netherlands,5,0
Germany,6,3
United States,7,-3
Ireland,8,-2
Canada,8,1
New Zealand,10,-1
Singapore,11,11
x,11,0
Liechtenstein,12,-2
Sweden,13,-1
United Kingdom,14,-2
Iceland,15,-1
South Korea,16,0
Israel,17,1
Luxembourg,18,-3
Japan,19,-3
Belgium,20,-2
France,21,-1
Austria,22,1
Finland,23,-1
Slovenia,24,-1
Spain,25,2
Italy,26,-1
Czech Republic,27,0
Greece,28,-2
Estonia,29,3
Brunei Darussalam,30,1
Cyprus,31,-2
Qatar,32,-1
Andorra,33,
Poland,34,1
Slovakia,35,3
Lithuania,36,-1
Malta,37,4
Saudi Arabia,38,10
Argentina,39,7
United Arab Emirates,40,-6
Chile,41,2
Portugal,42,0
Hungary,43,-4
Bahrain,44,-6
Croatia,45,-1
Latvia,46,-5
Kuwait,47,-3
Montenegro,48,1
Russian Federation,49,8
Belarus,50,4
Oman,51,-4
Romania,52,-1
Uruguay,53,4
Bahamas,54,2
Kazakhstan,55,6
Barbados,56,-3
Antigua and Barbuda,57,-6
Bulgaria,58,0
Panama,59,4
Malaysia,60,1
Palau,61,0
Mauritius,62,6
Trinidad and Tobago,63,-4
Serbia,64,-1
Cuba,65,-14
Lebanon,66,1
Seychelles,67,8
Costa Rica,68,1
Iran,69,7
Venezuela (Bolivarian Republic of),70,-4
Turkey,71,16
Mexico,72,-2
Sri Lanka,73,5
Brazil,74,3
Georgia,75,4
Azerbaijan,76,-2
Jordan,77,-8
Saint Kitts and Nevis,78,0
Ukraine,79,2
The former Yugoslav Republic of Macedonia,80,-2
Grenada,81,0
Libya,82,-27
Algeria,83,4
Peru,84,15
Albania,85,2
Armenia,86,1
Ecuador,87,5
Bosnia,88,2
Saint Lucia,89,-5
Fiji,90,1
Thailand,91,3
China,92,13
Dominica,93,-10
Mongolia,94,14
Tunisia,95,-1
Colombia,96,3
Saint Vincent and the Grenadines,97,-5
Jamaica,98,-23
Tonga,99,-4
Belize,100,-7
Suriname,101,-5
Dominican Republic,102,0
Maldives,103,2
Samoa,104,-3
Botswana,105,1
Moldova (Republic of),106,2
Egypt,107,-3
Turkmenistan,108,0
Indonesia,109,3
Gabon,110,1
Mexico,111,-4
Paraguay,112,-1
Uzbekistan,113,0
Philippines,114,-1
El Salvador,115,0
South Africa,116,4
Viet Nam,117,1
Bolivia,118,2
Iraq,119,-2
Kyrgyzstan,120,3
Cabo Verde,121,2
Micronesia (Federated States of),122,-2
Guyana,123,1
Nicaragua,124,1
Morocco,125,5
Guatemala,126,0
Namibia,127,3
Tajikistan,128,1
Syria,129,-15
India,130,6
Honduras,131,-4
Timor-Leste,132,1
Bhutan,133,0
Vanuatu,134,1
Kiribati,135,-1
Equatorial Guinea,136,-5
Congo,137,2
Zambia,138,1
Ghana,139,-2
Lao People's Democratic Republic,140,2
Bangladesh,141,0
Sao Tome and Principe,142,-2
Cambodia,143,1
Kenya,144,0
Nepal,145,3
Pakistan,146,0
Myanmar,147,1
Angola,148,1
Swaziland,149,-5
Tanzania,150,2
Nigeria,151,2
Madagascar,152,-4
Cameroon,153,6
Solomon Islands,154,-2
Mauritania,155,1
Papua New Guinea,156,-2
Zimbabwe,157,12
Comoros,158,-1
Yemen,159,-8
Lesotho,160,1
Haiti,161,-3
Rwanda,162,5
Uganda,163,-2
Benin,164,-2
Sudan,165,-5
Togo,166,3
Djibouti,167,0
Afghanistan,168,0
Senegal,169,-3
South Sudan,170,0
x,171,0
Gambia,172,-2
Malawi,173,2
Ethiopia,174,2
Democratic Republic of Congo,175,3
Liberia,176,1
Guinea-Bissau,177,-4
Mali,178,-3
Mozambique,179,0
Guinea,180,1
Sierra Leone,181,0
Burundi,182,0
Burkina Faso,183,2
Eritrea,184,-5
Chad,185,1
Central African Republic,186,0
Niger,187,0
